"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1412274,"Fedora","ruby","Vít Ondruch","CLOSED","ERRATA","rubygem-rkerberos is FTBFS on Rawhide [ppc]","2017-04-01 12:50:03"
1375839,"Fedora","liferea","Yaakov Selkowitz","CLOSED","RAWHIDE","liferea must not depend on webkitgtk3","2017-03-21 13:09:57"
1189877,"Fedora","initscripts","David Kaspar [Dee'Kej]","CLOSED","NEXTRELEASE","usleep - start to display deprecation warning","2017-05-31 06:18:56"
1263888,"Fedora","dnf","Jaroslav Mracek","CLOSED","ERRATA","dnf behaves non deterministically during local install","2017-03-31 06:25:06"
1322625,"Fedora","selinux-policy","Lukas Vrabec","CLOSED","ERRATA","SELinux is preventing systemd-modules from using the 'sys_module' capabilities.","2017-06-17 02:59:15"
1435692,"Fedora","openldap","Matus Honek","CLOSED","ERRATA","Enhance OpenLDAP to support TLSv1.3 protocol with NSS","2017-04-06 09:43:37"
1363695,"Fedora","mupdf","Pavel Zhukov","CLOSED","ERRATA","CVE-2016-6525 CVE-2016-8674 CVE-2017-5896 mupdf: various flaws [fedora-all]","2017-03-23 13:21:02"
1425338,"Fedora","mupdf","Pavel Zhukov","CLOSED","ERRATA","CVE-2017-6060 mupdf: Stack-based buffer overflow in jstest_main.c [fedora-all]","2017-04-01 13:30:35"
1448819,"Fedora","motif","Petr Šabata","CLOSED","ERRATA","FTBFS: Mrmlread.c:701:7: error: format not a string literal and no format arguments","2017-06-13 09:35:48"
304121,"Fedora","rpm",,"CLOSED","RAWHIDE","debugedit prints: canonicalization unexpectedly shrank by one character","2017-06-23 14:18:20"
226157,"Fedora","module-init-tools","Gwyn Ciesla","CLOSED","ERRATA","Merge Review: module-init-tools","2017-03-14 11:48:09"
1426456,"Fedora","libvirt","Jiri Denemark","CLOSED","CURRENTRELEASE","Unable to live migrate virtual machine: Domain not found: no domain with matching name 'vm'","2017-05-04 15:41:42"
1443384,"Fedora","curl","Kamil Dudka","CLOSED","ERRATA","CVE-2017-7468 curl: TLS session resumption client cert bypass [fedora-all]","2017-04-21 10:28:58"
1392161,"Fedora","selinux-policy","Lukas Vrabec","CLOSED","RAWHIDE","SELinux is preventing (ostnamed) from 'mounton' accesses on the directory /proc/irq.","2017-03-03 23:23:44"
1449943,"Fedora","xen","Michael Young","CLOSED","CURRENTRELEASE","RHEL7.3 hvm guest was destroyed after triggered crash in it","2017-06-15 04:37:36"
1437209,"Fedora","openssl","Tomas Mraz","CLOSED","WONTFIX","openssl could not use legacy ciphers in LEGACY profile","2017-03-30 03:54:16"
1160011,"Fedora","dnf",,"CLOSED","ERRATA","removal in install transaction","2017-06-16 09:19:24"
1191611,"Fedora","dnf",,"CLOSED","ERRATA","dnf install cannot install older kernel","2017-06-09 15:06:45"
1254005,"Fedora","dnf",,"CLOSED","RAWHIDE","dnf exclude doesn't work","2017-03-20 12:37:03"
1421627,"Fedora","qemu","Fedora Virtualization Maintainers","CLOSED","CURRENTRELEASE","CVE-2017-5973 Qemu: usb: infinite loop while doing control transfer in xhci_kick_epctx [fedora-all]","2017-04-13 19:57:38"
1266680,"Fedora","dnf-plugins-core","Michael Mráka","CLOSED","RAWHIDE","UX: when --help on plugin is executed the options of plugin and DNF itself should be separated","2017-06-08 09:49:26"
